Calibration values (ps) from cell 0 to 1024 :

00087.924	00088.125	00088.325	00088.525	00088.726	00088.926	00089.127	00089.327	cell = 440 to 447
00089.527	00089.728	00089.928	00090.129	00090.330	00090.530	00090.731	00090.932	cell = 448 to 455
00091.133	00091.334	00091.536	00091.737	00091.938	00092.140	00092.341	00092.542	cell = 456 to 463
00092.744	00092.945	00093.147	00093.349	00093.551	00093.752	00093.954	00094.155	cell = 464 to 471
00094.357	00094.559	00094.760	00094.962	00095.164	00095.366	00095.568	00095.770	cell = 472 to 479
00095.972	00096.174	00096.377	00096.579	00096.782	00096.984	00097.187	00097.390	cell = 480 to 487
00097.593	00097.797	00098.000	00098.203	00098.405	00098.608	00098.811	00099.013	cell = 488 to 495
00099.215	00099.417	00099.619	00099.820	00100.020	00100.222	00100.423	00100.624	cell = 496 to 503
00100.824	00101.025	00101.225	00101.425	00101.625	00101.825	00102.025	00102.225	cell = 504 to 511
00102.425	00102.625	00102.825	00103.025	00103.225	00103.426	00103.626	00103.826	cell = 512 to 519
00104.027	00104.227	00104.427	00104.628	00104.829	00105.029	00105.230	00105.430	cell = 520 to 527
00105.631	00105.831	00106.032	00106.232	00106.433	00106.633	00106.834	00107.034	cell = 528 to 535
00107.235	00107.435	00107.636	00107.837	00108.037	00108.238	00108.439	00108.640	cell = 536 to 543
00108.840	00109.041	00109.242	00109.443	00109.644	00109.845	00110.045	00110.245	cell = 544 to 551
00110.444	00110.644	00110.843	00111.042	00111.242	00111.441	00111.641	00111.841	cell = 552 to 559
00112.040	00112.240	00112.439	00112.639	00112.838	00113.037	00113.237	00113.436	cell = 560 to 567
00113.636	00113.835	00114.035	00114.234	00114.434	00114.634	00114.833	00115.033	cell = 568 to 575
00115.232	00115.432	00115.631	00115.831	00116.030	00116.229	00116.428	00116.628	cell = 576 to 583
00116.827	00117.026	00117.225	00117.423	00117.622	00117.821	00118.020	00118.219	cell = 584 to 591
00118.419	00118.618	00118.817	00119.017	00119.216	00119.416	00119.615	00119.815	cell = 592 to 599
00120.015	00120.216	00120.416	00120.617	00120.818	00121.019	00121.220	00121.421	cell = 600 to 607
00121.622	00121.823	00122.024	00122.225	00122.426	00122.627	00122.827	00123.028	cell = 608 to 615
00123.229	00123.429	00123.630	00123.830	00124.031	00124.231	00124.432	00124.632	cell = 616 to 623
00124.833	00125.033	00125.234	00125.434	00125.635	00125.835	00126.036	00126.236	cell = 624 to 631
00126.437	00126.637	00126.838	00127.039	00127.240	00127.441	00127.641	00127.842	cell = 632 to 639
00128.043	00128.243	00128.443	00128.644	00128.845	00129.045	00129.246	00129.447	cell = 640 to 647
00129.647	00129.848	00130.048	00130.248	00130.448	00130.649	00130.849	00131.049	cell = 648 to 655
00131.249	00131.449	00131.649	00131.849	00132.049	00132.250	00132.450	00132.650	cell = 656 to 663
00132.851	00133.051	00133.252	00133.452	00133.652	00133.853	00134.053	00134.253	cell = 664 to 671
00134.454	00134.654	00134.855	00135.055	00135.256	00135.456	00135.657	00135.857	cell = 672 to 679
00136.057	00136.258	00136.458	00136.658	00136.859	00137.059	00137.259	00137.460	cell = 680 to 687
00137.660	00137.860	00138.060	00138.260	00138.460	00138.661	00138.861	00139.061	cell = 688 to 695
00139.262	00139.462	00139.663	00139.863	00140.064	00140.264	00140.465	00140.665	cell = 696 to 703
00140.866	00141.067	00141.267	00141.468	00141.668	00141.869	00142.070	00142.271	cell = 704 to 711
00142.472	00142.673	00142.873	00143.074	00143.276	00143.477	00143.678	00143.879	cell = 712 to 719
00144.080	00144.281	00144.482	00144.683	00144.884	00145.084	00145.285	00145.486	cell = 720 to 727
00145.687	00145.888	00146.089	00146.289	00146.490	00146.690	00146.891	00147.091	cell = 728 to 735
00147.291	00147.492	00147.692	00147.892	00148.093	00148.293	00148.493	00148.693	cell = 736 to 743
00148.893	00149.093	00149.294	00149.494	00149.694	00149.894	00150.094	00150.295	cell = 744 to 751
00150.496	00150.696	00150.897	00151.097	00151.298	00151.498	00151.699	00151.899	cell = 752 to 759
00152.100	00152.300	00152.500	00152.701	00152.901	00153.101	00153.301	00153.501	cell = 760 to 767
00153.701	00153.901	00154.102	00154.302	00154.502	00154.702	00154.902	00155.102	cell = 768 to 775
00155.302	00155.502	00155.702	00155.902	00156.103	00156.303	00156.504	00156.704	cell = 776 to 783
00156.904	00157.105	00157.305	00157.505	00157.705	00157.905	00158.105	00158.305	cell = 784 to 791
00158.505	00158.705	00158.905	00159.105	00159.305	00159.505	00159.704	00159.904	cell = 792 to 799
00160.104	00160.303	00160.503	00160.702	00160.902	00161.101	00161.301	00161.500	cell = 800 to 807
00161.700	00161.899	00162.099	00162.298	00162.498	00162.697	00162.897	00163.096	cell = 808 to 815
00163.296	00163.495	00163.694	00163.894	00164.094	00164.293	00164.493	00164.692	cell = 816 to 823
00164.891	00165.091	00165.290	00165.490	00165.689	00165.889	00166.088	00166.288	cell = 824 to 831
00166.488	00166.688	00166.888	00167.088	00167.289	00167.489	00167.689	00167.889	cell = 832 to 839
00168.090	00168.290	00168.491	00168.691	00168.892	00169.092	00169.292	00169.493	cell = 840 to 847
00169.693	00169.893	00170.093	00170.292	00170.492	00170.692	00170.891	00171.091	cell = 848 to 855
00171.290	00171.489	00171.689	00171.888	00172.087	00172.287	00172.486	00172.686	cell = 856 to 863
00172.885	00173.084	00173.284	00173.483	00173.683	00173.882	00174.082	00174.281	cell = 864 to 871
00174.481	00174.681	00174.880	00175.080	00175.279	00175.478	00175.677	00175.877	cell = 872 to 879
00176.076	00176.275	00176.474	00176.673	00176.872	00177.072	00177.271	00177.471	cell = 880 to 887
00177.670	00177.870	00178.069	00178.269	00178.468	00178.667	00178.866	00179.065	cell = 888 to 895
00179.265	00179.464	00179.663	00179.862	00180.062	00180.261	00180.460	00180.660	cell = 896 to 903
00180.860	00181.060	00181.260	00181.459	00181.660	00181.860	00182.061	00182.261	cell = 904 to 911
00182.462	00182.663	00182.864	00183.065	00183.266	00183.467	00183.667	00183.868	cell = 912 to 919
00184.069	00184.270	00184.471	00184.672	00184.874	00185.075	00185.276	00185.477	cell = 920 to 927
00185.678	00185.879	00186.080	00186.280	00186.480	00186.680	00186.880	00187.080	cell = 928 to 935
00187.280	00187.480	00187.679	00187.878	00188.078	00188.277	00188.476	00188.675	cell = 936 to 943
00188.874	00189.073	00189.273	00189.472	00189.671	00189.871	00190.070	00190.269	cell = 944 to 951
00190.469	00190.668	00190.868	00191.067	00191.267	00191.467	00191.667	00191.866	cell = 952 to 959
00192.066	00192.266	00192.465	00192.665	00192.864	00193.064	00193.263	00193.463	cell = 960 to 967
00193.662	00193.862	00194.061	00194.260	00194.460	00194.659	00194.859	00195.058	cell = 968 to 975
00195.258	00195.458	00195.658	00195.857	00196.057	00196.257	00196.457	00196.657	cell = 976 to 983
00196.857	00197.056	00197.256	00197.456	00197.655	00197.855	00198.055	00198.255	cell = 984 to 991
00198.455	00198.655	00198.855	00199.055	00199.255	00199.455	00199.655	00199.856	cell = 992 to 999
00200.056	00200.256	00200.455	00200.655	00200.854	00201.053	00201.252	00201.451	cell = 1000 to 1007
00201.649	00201.847	00202.045	00202.242	00202.440	00202.637	00202.834	00203.031	cell = 1008 to 1015
00203.228	00203.424	00203.621	00203.818	00204.015	00204.211	00204.408	00204.604	cell = 1016 to 1023
