Calibration values (ps) from cell 0 to 1024 :

00000.000	00000.197	00000.394	00000.592	00000.789	00000.987	00001.185	00001.383	cell = 0 to 7
00001.581	00001.779	00001.977	00002.176	00002.374	00002.573	00002.771	00002.970	cell = 8 to 15
00003.168	00003.367	00003.566	00003.765	00003.965	00004.164	00004.363	00004.562	cell = 16 to 23
00004.761	00004.961	00005.160	00005.360	00005.559	00005.759	00005.959	00006.159	cell = 24 to 31
00006.359	00006.559	00006.760	00006.960	00007.160	00007.360	00007.560	00007.761	cell = 32 to 39
00007.961	00008.160	00008.360	00008.560	00008.760	00008.960	00009.160	00009.360	cell = 40 to 47
00009.560	00009.761	00009.961	00010.161	00010.362	00010.562	00010.762	00010.963	cell = 48 to 55
00011.163	00011.363	00011.563	00011.763	00011.962	00012.162	00012.362	00012.562	cell = 56 to 63
00012.762	00012.961	00013.161	00013.361	00013.560	00013.760	00013.960	00014.159	cell = 64 to 71
00014.359	00014.558	00014.758	00014.957	00015.156	00015.356	00015.555	00015.754	cell = 72 to 79
00015.953	00016.152	00016.351	00016.551	00016.750	00016.949	00017.149	00017.348	cell = 80 to 87
00017.548	00017.748	00017.947	00018.147	00018.347	00018.547	00018.747	00018.946	cell = 88 to 95
00019.146	00019.346	00019.546	00019.745	00019.945	00020.144	00020.344	00020.543	cell = 96 to 103
00020.743	00020.943	00021.142	00021.341	00021.540	00021.740	00021.939	00022.138	cell = 104 to 111
00022.337	00022.536	00022.735	00022.934	00023.132	00023.331	00023.530	00023.728	cell = 112 to 119
00023.927	00024.126	00024.324	00024.523	00024.722	00024.920	00025.119	00025.317	cell = 120 to 127
00025.515	00025.714	00025.912	00026.111	00026.310	00026.508	00026.707	00026.906	cell = 128 to 135
00027.105	00027.303	00027.502	00027.701	00027.900	00028.099	00028.298	00028.496	cell = 136 to 143
00028.695	00028.894	00029.093	00029.292	00029.491	00029.689	00029.888	00030.087	cell = 144 to 151
00030.286	00030.485	00030.684	00030.883	00031.082	00031.282	00031.481	00031.681	cell = 152 to 159
00031.880	00032.080	00032.279	00032.479	00032.678	00032.877	00033.077	00033.277	cell = 160 to 167
00033.477	00033.676	00033.876	00034.076	00034.276	00034.476	00034.676	00034.875	cell = 168 to 175
